Identification,Phenophase,Phenophase detail,Month,Day,Year,Country,State,County,Habitat,,Elevation,Latitude,Longitude,Map details,Location info,URL,,,,
000030,fl,2,7,23,2005,usa,north carolina,ashe,roadside,,3500-4683ft,36.403181,-81.463159,"3 (gmap, WGS84, plus minus 1807m)","Mount Jefferson State Natural Area and environs, S.R. 1152. Collected from roadside ecotones on left, ca. 0.1 miles prior to park office. Grid # D12",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5525451,,,,
00375274,leaves,,5,25,1895,usa,massachusetts,middlesex,,,,,,,upper section of Beaver Reservation,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23084177,,,,
00961767,fl,4,7,9,1922,usa,new jersey,camden,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23350680,,,,
01035994,fl,1,7,,1898,usa,maine,york,,,,,,,town of Wells,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23241434,,,,
01036443,fl,4,6,27,1955,usa,massachusetts,essex,,,,,,,"Pleasant valley road, amesbury",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23241487,,,,
01036496,fruiting,1,8,30,1944,usa,massachusetts,stoughton,gravelly roadside on edge of woods,,,,,,~100yd from Frank Atherton's on Central St,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23241540,,,,
01036525,fl,2,7,13,1936,usa,massachusetts,harvard,thicket,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23241569,,,,
01036545,fl,2,,,1871,usa,rhode island,providence,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23241589,,,,
1036476,fruiting,2,8,13,1910,usa,massachusetts,middlesex,,,,,,,Prospect Hill in Waltham,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23241520,,,,
1222154,fl,3,7,26,1990,usa,michigan,chippewa,,,,46.078649,-83.665531,,"Drummond Twp. T42N, R5E, Sec. 24 SE1/4. Drummond Is. SW corner of Maxton and Townline Rd's. ca. 1/4 mi. E. of village of Drummond",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=29596130,,,,
1222174,fl,5,7,18,1949,usa,michigan,keweenaw,rocky shore of Lake Superior,,,47.478326,-87.951748,plus minus 195m,Hebard Park,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=29596150,,,,
1353657,fl,5,7,7,1893,usa,michigan,jackson,roadside,,,,,HAD MAP,D.R. Camp Herbarium No.211,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=29670977,,,,
1583478,fl,,7,12,2018,usa,massachusetts,worcestor,roadside,,390m,42.4743,71.8993,,Wachusett Reservation,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=29421337,,,,
305878,fl,3,7,14,1972,usa,minnesota,wright,roadside,,"1000-2000ft, 610m",45.195573,-94.073843,"plus minus 10,000m","Entrance to Camp Courage off co. road #7, 3.75mi from jnc of #7 and hwy 55",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=27640386,,,,
31234100231644,fl,1,7,24,1989,usa,kentucky,menifee,pond,,,,,,"pond corner of Rts. 460 and 713, near county border",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5472377,,,,
