"id","PlantID","Latitude","Longitude","Year","StationName","Distance"
"USC00318694","000030",36.403181,-81.463159,2005,"TRANSOU",14.1317108579604
"CA006055210","1222154",46.078649,-83.665531,1990,"MISSISSAGI ONT HYDRO",45.0110698164669
"USW00014858","1222174",47.478326,-87.951748,1949,"HANCOCK HOUGHTON CO AP",52.8950727714577
"USW00004780","1583478",42.4743,-71.8993,2018,"FITCHBURG MUNI AP",14.7222491846637
"USC00214778","305878",45.195573,-94.073843,1972,"LITCHFIELD",36.9038105061744
"USC00151890","31234100765245",37.716122,-84.295659,2015,"CRAB ORCHARD 6 N",28.0474764976157
"USC00302964","3529050",40.862289,-73.877023,1910,"FT SCHUYLER",9.48507776238249
"USC00309117","3529244",40.859803,-73.451896,1984,"WESTBURY",18.7961673935247
"USW00014767","CM080487",40.164148,-75.822662,1938,"READING WB CITY",22.4322954154562
"KG000036982","CM394171",40.1525,79.0915,1994,"TIAN-SHAN",205.457848731816
"KG000036953","CM487595",42.2658,79.1835,1998,"NARYNKOL",95.9153783952793
"KG000036982","CM513285",40.1859,80.3024,2006,"TIAN-SHAN",256.378657009451
"USW00014835","collector: Richard M. Hull",40.408445,-87.070978,2021,"LAFAYETTE PURDUE UNIV AP",10.4627481958065
"USC00287850","PH00055239",39.691074,-75.318015,1934,"SALEM",18.2636925843336
"USW00054786","PH00388901",40.20465,-75.187484,2011,"DOYLESTOWN AP",15.010883406748
"USC00122309","sec ID: 9727",38.406476,-86.612361,2021,"DUBOIS S IN FORAGE FM",9.27991283895696
"USC00305816","v0394260WIS",40.565104,-74.337371,1891,"NEW YORK WB CITY",30.9393248372168
"USC00203429","GVSC001248",43.19893,-85.618978,1971,"GREENVILLE 2 NNE",30.5429214152464
"USC00227444","MISSA002797",31.335041,-89.287018,1972,"RICHTON 1 N",33.8646661094925
"USC00368905","PH00055289_1",41.605164,-76.644331,1941,"TOWANDA 1 S",23.2943955470025
"USC00362721","PH00055310_1",40.200802,-78.556128,1939,"EVERETT",27.1842810102534
"USW00014736","PH00055315",40.136866,-78.269399,1962,"ALTOONA BLAIR CO AP",18.5789535339514
"USC00473698","v0018518WIS",45.08154222,-91.25779244,1959,"HOLCOMBE",18.8380045965825
"USC00474894","v0389900WIS",45.9052,-92.55425,2018,"LUCK",37.2914864811527
"USC00134381","3529144",40.2564,-91.5342,2011,"KEOKUK LOCK DAM 19",20.6279368774816
"CHM00052267","491066",43.8218,102.8562,1967,"EJIN QI",254.090808130387
"USC00281582","CHRB0088524",41.032739,-74.639426,2020,"CHARLOTTEBURG RSVR",18.0137707237455
"USC00281582","CHRB0088525",40.9448,-74.6198,2020,"CHARLOTTEBURG RSVR",18.9188471233887
"USC00283706","CHRB0088526",41.0348,-74.493,2020,"HIGHLAND LAKES 1SW",14.5632910155357
"USC00115825","Collector: F. M. Witt",41.28781,-88.285618,1972,"MORRIS 1NW",15.4419299572471
"USC00205642","Collector: E. B. Uline",41.683381,-86.250007,1891,"MOTTVILLE",47.4398637206874
