"id","PlantID","Latitude","Longitude","Year","StationName","Distance"
"USC00314496","000030",36.403181,-81.463159,2005,"JEFFERSON 2 E",3.39120160739426
"USC00202094","1222154",46.078649,-83.665531,1990,"DETOUR VILLAGE",20.2804666580721
"USC00202332","1222174",47.478326,-87.951748,1949,"EAGLE HARBOR",16.2077528585954
"USC00190408","1583478",42.4743,-71.8993,2018,"BARRE FALLS DAM",11.7057225151461
"USC00211107","305878",45.195573,-94.073843,1972,"BUFFALO 2NE",18.3238077050118
"USC00151895","31234100765245",37.716122,-84.295659,2015,"CRESSY",26.1997479956205
"USC00300961","3529050",40.862289,-73.877023,1910,"BRONX",3.6144657073686
"USC00308773","3529244",40.859803,-73.451896,1984,"VANDERBILT MUSEUM",8.44285369973278
"USC00446054","37333",37.077983,-76.674815,1976,"NEWPORT NEWS PRESS BLD",21.0836618358332
"USC00215615","896441",45.9511111,-93.4711111,1988,"MORA",14.6086907462335
"USC00216547","950636_1",46.887089,-94.095581,1935,"PINE RVR DAM",24.2271510261142
"USC00361920","CM526956",40.08689,-77.266942,2012,"CARLISLE WTP",16.793103221793
"USC00360355","CM010378",40.597411,-79.998226,1964,"BAKERSTOWN 3 WNW",5.98177657376657
"USC00361589","CM080487",40.164148,-75.822662,1938,"COATESVILLE 1 SW",21.973871558233
"USC00360140","CM308022",40.33456,-78.56025,1984,"ALTOONA 3 W",19.5191168632555
"USC00364836","CM394171",40.1525,-79.0915,1994,"LAUREL MTN",9.79216093979553
"USC00304207","CM487595",42.2658,-79.1835,1998,"JAMESTOWN 4 ENE",17.4394697432094
"USC00369318","CM513285",40.1859,-80.3024,2006,"WASHINGTON 3 NE",9.67344980172552
"USC00129430","collector: Richard M. Hull",40.408445,-87.070978,2021,"W LAFAYETTE 6 NW",9.97761863772431
"USC00152791","-83.32488",38.1928,-83.32488,1999,"CAVE RUN LAKE",19.7755001963674
"USC00365390","PH00055239",39.691074,-75.318015,1934,"MARCUS HOOK",17.6532356728921
"USW00014793","PH00388901",40.20465,-75.187484,2011,"WILLOW GROVE NAS",3.22513333738763
"USC00126711","sec ID: 9727",38.406476,-86.612361,2021,"PATOKA LAKE",8.54615100407799
"USC00287865","v0394260WIS",40.565104,-74.337371,1891,"SANDY HOOK",30.2447139076085
"USC00204320","GVSC001248",43.19893,-85.618978,1971,"KENT CITY 2 SW",12.8596353056726
"USW00094860","GVSC001249",42.851381,-85.639593,1967,"GRAND RAPIDS",9.04289256146814
"USC00200230","EMC008606",42.25133,-83.631138,1972,"ANN ARBOR U OF MICH",5.85764506494207
"USC00223887","MISSA002797",31.335041,-89.287018,1972,"HATTIESBURG 5SW",10.2171896271174
"USC00361215","PH00055289_1",41.605164,-76.644331,1941,"CANTON 1 NW",19.706070386089
"USC00360492","PH00055310_1",40.200802,-78.556128,1939,"BEDFORD",21.0203570969139
"USC00362721","PH00055315",40.136866,-78.269399,1962,"EVERETT",16.1563831566828
"USC00476718","v0018521WIS",43.55177716,-89.3695071,1959,"PORTAGE WWTP",5.92050337965787
"USC00470904","v0018518WIS",45.08154222,-91.25779244,1959,"BLOOMER",17.9770931565974
"USC00476718","v0018522WIS",43.41705938,-89.43303057,1987,"PORTAGE WWTP",12.6290013050505
"USC00470645","v0018523WIS",43.4801005,-89.0362694,1960,"BEAVER DAM WWTP",15.9613348221242
"USW00014995","v0389900WIS",45.9052,-92.55425,2018,"GRANTSBURG",18.029505586745
"USC00231275","3529144",40.2564,-91.5342,2011,"CANTON L&D 20",12.6066605256757
"USC00397512","491066",43.8218,-102.8562,1967,"SCENIC",25.3289397982599
"USW00054779","CHRB0088524",41.032739,-74.639426,2020,"AEROFLEX-ANDOVER AP",8.54614038912364
"USW00054779","CHRB0088525",40.9448,-74.6198,2020,"AEROFLEX-ANDOVER AP",12.1282057943365
"USC00281582","CHRB0088526",41.0348,-74.493,2020,"CHARLOTTEBURG RSVR",5.75371805393355
"USC00113369","Collector: F. M. Witt",41.28781,-88.285618,1972,"GEBHARD WOODS SP",14.1396726468129
"USC00208411","Collector: E. B. Uline",41.683381,-86.250007,1891,"VANDALIA",32.1626511301247
"USW00094728","Collector: F. W. Hall",41.30806,-72.92861,1873,"NY CITY CNTRL PARK",105.250498372629
"USC00475484","Collector: R. N. Lloyd",41.965588,-87.666723,1887,"MILWAUKEE WB CITY",120.254468581157
"USC00123650","Collector: O. E. Lansing, Jr._3",41.752257,-87.552824,1900,"HAMMOND",21.0945017636515
"USC00338830","MDKY00007738",38.929,-83.1551,1998,"WAVERLY",25.3172792572757
"USC00111329","USCH0057370",39.316326,-87.9094,2012,"CASEY",5.99563734894939
"USW00013891","TENN-V-0177545",35.865356,-84.061052,1990,"KNOXVILLE AP",8.58031885469067
"USW00013891","TENN-V-0177546",35.995089,-83.88881,1934,"KNOXVILLE AP",21.5318491998267
"USC00473116","11240",43.6726,-87.7153,2003,"OOSTBURG",8.22878973751542
"USW00014910","14142",45.84,-95.75,2008,"ALEXANDRIA CHANDLER FLD",27.7549311766749
"USC00203712","MSC0204917",42.4551,-84.22209,2010,"HELL",19.5246585523154
"USC00208443","MSC0243089",43.36,-83.43,1979,"VASSAR",12.3681887408513
"USC00238712","DES00012301",38.75505,-93.726646,1975,"WARRENSBURG 4NW",7.1997077418667
"USC00308322","DES00018146",41.153428,-74.043,1979,"SUFFERN",10.5775315151193
"USC00368668","KHD00001820",40.979855,-76.850798,1958,"SUNBURY",14.9939358477541
"USC00250435","KHD00001818",40.477368,-95.731373,1932,"AUBURN 5 ESE",11.9445932978567
"USC00200230","EMC008605",42.25133,-83.631138,1972,"ANN ARBOR U OF MICH",5.85764506494207
"USC00200343","EMC008612",44.935404,-84.394283,1963,"ATLANTA 5 WNW",16.3527857214699
"USC00200230","EMC008604",42.257394,-83.612376,1967,"ANN ARBOR U OF MICH",6.20132984171588
"USW00014833","MSC0163065",42.42508,-84.28393,2011,"JACKSON REYNOLDS FLD",22.8762981543403
"USC00276697","11542",42.8667,-71.95,1931,"PETERBORO 2 S",1.85695527496382
"USC00214793","236708",46,-94,1997,"LITTLE FALLS 2NNE",26.6512262297063
"USC00275712","12592",42.8806,-71.3273,1913,"NASHUA 2 NNW",15.5140234359506
"USC00476420","266648",42.4979,-88.3137,2009,"PELL LAKE WWTP",4.12276414293386
"USC00115493","239427",42.2656,-88.2861,2000,"MC HENRY -WG STRATTON L&D",5.54832396704042
"USC00276697","22370",42.8667,-71.95,1910,"PETERBORO 2 S",1.85695527496382
"USC00308036","73619",43.7312,-73.8193,1923,"SOUTH SCHROON",5.99703810862814
"USC00305291","51805",42.5152,-74.1343,1954,"MIDDLEBURG",17.6664925703388
"CA006158350","85505",40.6259,-75.3705,1840,"TORONTO",473.896063237022
"USC00362183","111301",40.1126,-79.3825,1967,"DONEGAL 2 NW",2.58266894119396
"USC00210018","130501",47.1667,-96.25,1977,"ADA",24.9146002109514
