Observation_ID,Update_Datetime,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,Observation_Date,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value,Abundance_Value,AGDD,AGDD_in_F,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmax,Tmax_in_F,Tmin_Winter,Tmin_Spring,Tmin_Summer,Tmin_Fall,Tmin,Tmin_in_F,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall,Prcp,Accum_Prcp,Daylength
29611036,2022-04-20 08:21:40,5583,45.196041,-70.459015,349,ME,199,Asclepias,syriaca,common milkweed,Plantae,12470,390,Ripe fruits,2022-04-13,103,0,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
29723764,2022-04-27 06:50:19,5583,45.196041,-70.459015,349,ME,199,Asclepias,syriaca,common milkweed,Plantae,12470,390,Ripe fruits,2022-04-20,110,0,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
29819102,2022-05-04 03:43:38,5583,45.196041,-70.459015,349,ME,199,Asclepias,syriaca,common milkweed,Plantae,12470,390,Ripe fruits,2022-04-27,117,0,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
29913721,2022-05-11 12:31:08,5583,45.196041,-70.459015,349,ME,199,Asclepias,syriaca,common milkweed,Plantae,12470,390,Ripe fruits,2022-05-04,124,0,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
30018132,2022-05-18 06:35:57,5583,45.196041,-70.459015,349,ME,199,Asclepias,syriaca,common milkweed,Plantae,12470,390,Ripe fruits,2022-05-11,131,0,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
30098922,2022-05-25 04:58:34,5583,45.196041,-70.459015,349,ME,199,Asclepias,syriaca,common milkweed,Plantae,12470,390,Ripe fruits,2022-05-18,138,0,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
30204301,2022-06-01 05:27:58,5583,45.196041,-70.459015,349,ME,199,Asclepias,syriaca,common milkweed,Plantae,12470,390,Ripe fruits,2022-05-25,145,0,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
30285734,2022-06-08 06:31:53,5583,45.196041,-70.459015,349,ME,199,Asclepias,syriaca,common milkweed,Plantae,12470,390,Ripe fruits,2022-06-01,152,0,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
30362580,2022-06-15 05:35:24,5583,45.196041,-70.459015,349,ME,199,Asclepias,syriaca,common milkweed,Plantae,12470,390,Ripe fruits,2022-06-08,159,0,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
30418346,2022-06-22 12:21:42,5583,45.196041,-70.459015,349,ME,199,Asclepias,syriaca,common milkweed,Plantae,12470,390,Ripe fruits,2022-06-15,166,0,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
